Run,BioSample,Ecotype,Organism,Sample Name,Tissue,dev_stage,Age,Treatment
SRR3581731,SAMN05170769,Col-0 (CS70000),Arabidopsis thaliana,Dry Seeds (SD.d),Seed,Dry seeds,NA,NA
SRR3581892,SAMN05170769,Col-0 (CS70000),Arabidopsis thaliana,Dry Seeds (SD.d),Seed,Dry seeds,NA,NA
SRR3581732,SAMN05170770,Col-0 (CS70000),Arabidopsis thaliana,Germinating seeds 1 (SD.g1),Seed,NA,1 day after soaking,NA
SRR3581893,SAMN05170770,Col-0 (CS70000),Arabidopsis thaliana,Germinating seeds 1 (SD.g1),Seed,NA,1 day after soaking,NA
SRR3581733,SAMN05170771,Col-0 (CS70000),Arabidopsis thaliana,Germinating seeds 2 (SD.g2),Seed,NA,2 day after soaking,NA
SRR3581894,SAMN05170771,Col-0 (CS70000),Arabidopsis thaliana,Germinating seeds 2 (SD.g2),Seed,NA,2 day after soaking,NA
SRR3581734,SAMN05170772,Col-0 (CS70000),Arabidopsis thaliana,Germinating seeds 3 (SD.g3),Seed,NA,3 day after soaking,NA
SRR3581895,SAMN05170772,Col-0 (CS70000),Arabidopsis thaliana,Germinating seeds 3 (SD.g3),Seed,NA,3 day after soaking,NA
SRR3581735,SAMN05170773,Col-0 (CS70000),Arabidopsis thaliana,Seeds from the senescent silique 1 (SD.sn1),Seed,first silique was yellow and ready to open,NA,NA
SRR3581896,SAMN05170773,Col-0 (CS70000),Arabidopsis thaliana,Seeds from the senescent silique 1 (SD.sn1),Seed,first silique was yellow and ready to open,NA,NA
SRR3581736,SAMN05170774,Col-0 (CS70000),Arabidopsis thaliana,Pod of the senescent silique 1 (POD.sn1),Pod,first silique was yellow and ready to open,NA,NA
SRR3581897,SAMN05170774,Col-0 (CS70000),Arabidopsis thaliana,Pod of the senescent silique 1 (POD.sn1),Pod,first silique was yellow and ready to open,NA,NA
SRR3581737,SAMN05170775,Col-0 (CS70000),Arabidopsis thaliana,Senescent silique 2 (SL.sn2),Silique,first silique was yellow and ready to open,NA,NA
SRR3581898,SAMN05170775,Col-0 (CS70000),Arabidopsis thaliana,Senescent silique 2 (SL.sn2),Silique,first silique was yellow and ready to open,NA,NA
SRR3581738,SAMN05170776,Col-0 (CS70000),Arabidopsis thaliana,Senescent internode (IN.sn),Internode,first silique was yellow and ready to open,NA,NA
SRR3581899,SAMN05170776,Col-0 (CS70000),Arabidopsis thaliana,Senescent internode (IN.sn),Internode,first silique was yellow and ready to open,NA,NA
SRR3724649,SAMN05300263,Col-0 (CS70000),Arabidopsis thaliana,Cold 1 hour,Leaf Cold 1 hour,NA,21 day,cold
SRR3724650,SAMN05300263,Col-0 (CS70000),Arabidopsis thaliana,Cold 1 hour,Leaf Cold 1 hour,NA,21 day,cold
SRR3724651,SAMN05300264,Col-0 (CS70000),Arabidopsis thaliana,Cold 3 hours,Leaf Cold 3 hours,NA,21 day,cold
SRR3724652,SAMN05300264,Col-0 (CS70000),Arabidopsis thaliana,Cold 3 hours,Leaf Cold 3 hours,NA,21 day,cold
SRR3724663,SAMN05300265,Col-0 (CS70000),Arabidopsis thaliana,Cold 6 hours,Leaf Cold 6 hours,NA,21 day,cold
SRR3724668,SAMN05300265,Col-0 (CS70000),Arabidopsis thaliana,Cold 6 hours,Leaf Cold 6 hours,NA,21 day,cold
SRR3724737,SAMN05300266,Col-0 (CS70000),Arabidopsis thaliana,Cold 12 hours,Leaf Cold 12 hours,NA,21 day,cold
SRR3724738,SAMN05300266,Col-0 (CS70000),Arabidopsis thaliana,Cold 12 hours,Leaf Cold 12 hours,NA,21 day,cold
SRR3724739,SAMN05300267,Col-0 (CS70000),Arabidopsis thaliana,Cold 24 hours,Leaf Cold 24 hours,NA,21 day,cold
SRR3724741,SAMN05300267,Col-0 (CS70000),Arabidopsis thaliana,Cold 24 hours,Leaf Cold 24 hours,NA,21 day,cold
SRR3724768,SAMN05300268,Col-0 (CS70000),Arabidopsis thaliana,Heat 1 hour,Leaf Heat 1 hour,NA,21 day,heat
SRR3724774,SAMN05300268,Col-0 (CS70000),Arabidopsis thaliana,Heat 1 hour,Leaf Heat 1 hour,NA,21 day,heat
SRR3724778,SAMN05300269,Col-0 (CS70000),Arabidopsis thaliana,Heat 3 hours,Leaf Heat 3 hours,NA,21 day,heat
SRR3724782,SAMN05300269,Col-0 (CS70000),Arabidopsis thaliana,Heat 3 hours,Leaf Heat 3 hours,NA,21 day,heat
SRR3724785,SAMN05300270,Col-0 (CS70000),Arabidopsis thaliana,Heat 6 hours,Leaf Heat 6 hours,NA,21 day,heat
SRR3724786,SAMN05300270,Col-0 (CS70000),Arabidopsis thaliana,Heat 6 hours,Leaf Heat 6 hours,NA,21 day,heat
SRR3724787,SAMN05300271,Col-0 (CS70000),Arabidopsis thaliana,Heat 12 hours,Leaf Heat 12 hours,NA,21 day,heat
SRR3724798,SAMN05300271,Col-0 (CS70000),Arabidopsis thaliana,Heat 12 hours,Leaf Heat 12 hours,NA,21 day,heat
SRR3724806,SAMN05300272,Col-0 (CS70000),Arabidopsis thaliana,Heat 24 hours,Leaf Heat 24 hours,NA,21 day,heat
SRR3724814,SAMN05300272,Col-0 (CS70000),Arabidopsis thaliana,Heat 24 hours,Leaf Heat 24 hours,NA,21 day,heat
SRR3725446,SAMN05300273,Col-0 (CS70000),Arabidopsis thaliana,Wounding 1 hour,Leaf Wounding 1 hour,NA,21 day,wounding
SRR3725458,SAMN05300273,Col-0 (CS70000),Arabidopsis thaliana,Wounding 1 hour,Leaf Wounding 1 hour,NA,21 day,wounding
SRR3725471,SAMN05300274,Col-0 (CS70000),Arabidopsis thaliana,Wounding 3 hours,Leaf Wounding 3 hours,NA,21 day,wounding
SRR3725482,SAMN05300274,Col-0 (CS70000),Arabidopsis thaliana,Wounding 3 hours,Leaf Wounding 3 hours,NA,21 day,wounding
SRR3725493,SAMN05300275,Col-0 (CS70000),Arabidopsis thaliana,Wounding 6 hours,Leaf Wounding 6 hours,NA,21 day,wounding
SRR3725503,SAMN05300275,Col-0 (CS70000),Arabidopsis thaliana,Wounding 6 hours,Leaf Wounding 6 hours,NA,21 day,wounding
SRR3725516,SAMN05300276,Col-0 (CS70000),Arabidopsis thaliana,Wounding 12 hours,Leaf Wounding 12 hours,NA,21 day,wounding
SRR3725527,SAMN05300276,Col-0 (CS70000),Arabidopsis thaliana,Wounding 12 hours,Leaf Wounding 12 hours,NA,21 day,wounding
SRR3725538,SAMN05300277,Col-0 (CS70000),Arabidopsis thaliana,Wounding 24 hours,Leaf Wounding 24 hours,NA,21 day,wounding
SRR3725550,SAMN05300277,Col-0 (CS70000),Arabidopsis thaliana,Wounding 24 hours,Leaf Wounding 24 hours,NA,21 day,wounding
SRR3725560,SAMN05300278,Col-0 (CS70000),Arabidopsis thaliana,Wounding 48 hours,Leaf Wounding 48 hours,NA,21 day,wounding
SRR3725561,SAMN05300278,Col-0 (CS70000),Arabidopsis thaliana,Wounding 48 hours,Leaf Wounding 48 hours,NA,21 day,wounding
